Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
597.4856108,-0.016759412,0.177170932,9.744400978
597.5356108,-0.016759412,0.172382519,9.758766174
597.5856108,-0.026336219,0.172382519,9.746794701
597.6356108,-0.01436521,0.169988319,9.744400978
597.6856108,-0.021547815,0.177170932,9.758766174
597.7356108,-0.023942016,0.179565132,9.742006302
597.7856108,-0.021547815,0.179565132,9.739612579
597.8356108,-0.021547815,0.169988319,9.744400978
597.8856108,-0.009576807,0.155623108,9.742006302
597.9356108,-0.021547815,0.169988319,9.737217903
597.9856108,-0.011971008,0.172382519,9.737217903
598.0356108,-0.026336219,0.169988319,9.751583099
598.0856108,-0.021547815,0.169988319,9.742006302
598.1356108,-0.026336219,0.179565132,9.744400978
598.1856108,-0.019153614,0.160411507,9.756371498
598.2356108,-0.023942016,0.169988319,9.732429504
598.2856108,-0.019153614,0.165199921,9.739612579
598.3356108,-0.016759412,0.162805721,9.744400978
598.3856108,-0.026336219,0.172382519,9.742006302
598.4356108,-0.01436521,0.177170932,9.746794701
598.4856108,-0.02873042,0.174776718,9.742006302
598.5356108,-0.021547815,0.172382519,9.739612579
598.5856108,-0.009576807,0.181959331,9.744400978
598.6356108,-0.026336219,0.177170932,9.751583099
598.6856108,-0.019153614,0.165199921,9.732429504
598.7356108,-0.016759412,0.172382519,9.744400978
598.7856108,-0.02873042,0.165199921,9.751583099
598.8356108,-0.023942016,0.162805721,9.749189377
598.8856108,-0.019153614,0.172382519,9.742006302
598.9356108,-0.023942016,0.16759412,9.734824181
598.9856108,-0.021547815,0.16759412,9.742006302
599.0356108,-0.016759412,0.169988319,9.749189377
599.0856108,-0.021547815,0.172382519,9.756371498
599.1356108,-0.026336219,0.172382519,9.730035782
599.1856108,-0.019153614,0.169988319,9.739612579
599.2356108,-0.019153614,0.169988319,9.751583099
599.2856108,-0.021547815,0.174776718,9.739612579
599.3356108,-0.023942016,0.174776718,9.742006302
599.3856108,-0.01436521,0.172382519,9.753977776
599.4356108,-0.021547815,0.179565132,9.746794701
599.4856108,-0.016759412,0.172382519,9.746794701
599.5356108,-0.021547815,0.169988319,9.753977776
599.5856108,-0.016759412,0.16759412,9.761159897
599.6356108,-0.016759412,0.169988319,9.746794701
599.6856108,-0.023942016,0.174776718,9.744400978
599.7356108,-0.016759412,0.16759412,9.753977776
599.7856108,-0.023942016,0.16759412,9.749189377
599.8356108,-0.019153614,0.172382519,9.744400978
599.8856108,-0.02873042,0.169988319,9.737217903
599.9356108,-0.023942016,0.169988319,9.746794701
599.9856108,-0.016759412,0.172382519,9.742006302
600.0356108,-0.019153614,0.179565132,9.742006302
600.0856108,-0.02873042,0.179565132,9.746794701
600.1356108,-0.019153614,0.165199921,9.742006302
600.1856108,-0.019153614,0.172382519,9.739612579
600.2356108,-0.026336219,0.177170932,9.737217903
600.2856108,-0.026336219,0.165199921,9.753977776
600.3356108,-0.023942016,0.158017308,9.749189377
600.3856108,-0.019153614,0.162805721,9.737217903
600.4356108,-0.021547815,0.174776718,9.742006302
600.4856108,-0.019153614,0.162805721,9.744400978
600.5356108,-0.026336219,0.162805721,9.756371498
600.5856108,-0.021547815,0.16759412,9.730035782
600.6356108,-0.02873042,0.160411507,9.753977776
600.6856108,-0.023942016,0.16759412,9.746794701
600.7356108,-0.02873042,0.18435353,9.751583099
600.7856108,-0.026336219,0.169988319,9.742006302
600.8356108,-0.021547815,0.181959331,9.732429504
600.8856108,-0.01436521,0.172382519,9.744400978
600.9356108,-0.023942016,0.160411507,9.756371498
600.9856108,-0.01436521,0.16759412,9.751583099
