Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
581.3856108,0.000610865,0,-0.00122173
581.4356108,-0.000610865,-0.000610865,0
581.4856108,0.000610865,0.001832596,0.000610865
581.5356108,0.00122173,-0.001832596,0.000610865
581.5856108,0.000610865,0,0
581.6356108,0.00122173,0.003054326,0
581.6856108,0.00122173,0.00122173,-0.000610865
581.7356108,0.000610865,0.000610865,0
581.7856108,-0.000610865,0.001832596,-0.000610865
581.8356108,0.000610865,0.00122173,-0.000610865
581.8856108,-0.001832596,0,-0.000610865
581.9356108,0,-0.000610865,0
581.9856108,0,0.00122173,0
582.0356108,0.00122173,0.000610865,0.00122173
582.0856108,-0.000610865,0.000610865,-0.000610865
582.1356108,0.000610865,0,-0.000610865
582.1856108,0.001832596,0.00122173,-0.000610865
582.2356108,0,-0.000610865,0.000610865
582.2856108,-0.000610865,0.00122173,0
582.3356108,0,-0.000610865,0
582.3856108,0.00122173,-0.00122173,-0.000610865
582.4356108,0.000610865,-0.00122173,-0.001832596
582.4856108,-0.000610865,0,-0.00122173
582.5356108,0.000610865,0,0
582.5856108,0.000610865,-0.000610865,-0.00122173
582.6356108,0.001832596,0.00122173,-0.000610865
582.6856108,0.001832596,0.001832596,-0.000610865
582.7356108,0.000610865,0.000610865,0
582.7856108,-0.00122173,-0.001832596,-0.000610865
582.8356108,0,0.001832596,-0.00122173
582.8856108,0,0,-0.00122173
582.9356108,-0.00122173,0,-0.002443461
582.9856108,0.000610865,0.000610865,-0.00122173
583.0356108,0,0,0
583.0856108,0.000610865,0.000610865,-0.000610865
583.1356108,0,-0.000610865,-0.000610865
583.1856108,0.000610865,0.000610865,-0.00122173
583.2356108,-0.000610865,0.002443461,-0.000610865
583.2856108,0.000610865,-0.000610865,-0.00122173
583.3356108,0.00122173,0.001832596,-0.000610865
583.3856108,0.000610865,0.001832596,0
583.4356108,0,0.001832596,-0.000610865
583.4856108,0,-0.000610865,0
583.5356108,0.000610865,0.00122173,0
583.5856108,0.000610865,-0.000610865,0.00122173
583.6356108,0.001832596,0,-0.00122173
583.6856108,0,0.000610865,0.000610865
583.7356108,0.000610865,0.000610865,-0.000610865
583.7856108,0,0,0
583.8356108,0.00122173,0.001832596,0
583.8856108,0,0,0
583.9356108,0.000610865,-0.000610865,0
583.9856108,-0.000610865,0,-0.000610865
